Hugo_Symbol,submitter_id,expression
ROS1,TCGA-5M-AATA,-0.0361
SMAD4,TCGA-5M-AATA,0.2604
TCF7L2,TCGA-5M-AATA,-0.9712
TNC,TCGA-5M-AATA,0.0986
TP53,TCGA-5M-AATA,0.2502
TRRAP,TCGA-5M-AATA,0.0481
ZFHX3,TCGA-5M-AATA,0.3034
ACVR2A,TCGA-5M-AATE,-0.2432
AKAP9,TCGA-5M-AATE,0.1124
ANK1,TCGA-5M-AATE,-1.5732
APC,TCGA-5M-AATE,0.0402
ARID1A,TCGA-5M-AATE,0.3452
ATM,TCGA-5M-AATE,-0.1902
ATRX,TCGA-5M-AATE,0.3728
BCL9,TCGA-5M-AATE,1.089
BCL9L,TCGA-5M-AATE,-0.5418
BCORL1,TCGA-5M-AATE,0.893
BIRC6,TCGA-5M-AATE,0.8052
BRAF,TCGA-5M-AATE,0.6921
BRCA2,TCGA-5M-AATE,0.4246
CARD11,TCGA-5M-AATE,1.639
CDH10,TCGA-5M-AATE,-1.5957
CDH4,TCGA-5M-AATE,-0.5179
CNTNAP2,TCGA-5M-AATE,0.6322
CREBBP,TCGA-5M-AATE,0.1324
CSMD3,TCGA-5M-AATE,-1.1649
CTNNA2,TCGA-5M-AATE,3.0053
DCC,TCGA-5M-AATE,-0.6891
ERBB4,TCGA-5M-AATE,-1.258
FAM123B,TCGA-5M-AATE,1.4456
FAM47C,TCGA-5M-AATE,-1.3237
FAT1,TCGA-5M-AATE,0.5462
FAT3,TCGA-5M-AATE,0.9398
FAT4,TCGA-5M-AATE,0.5769
FBXW7,TCGA-5M-AATE,0.489
GRIN2A,TCGA-5M-AATE,-0.2996
KRAS,TCGA-5M-AATE,-1.106
LRP1B,TCGA-5M-AATE,-1.1856
MLL3,TCGA-5M-AATE,1.1208
MLL4,TCGA-5M-AATE,1.5211
MUC16,TCGA-5M-AATE,-1.0807
MYH11,TCGA-5M-AATE,-0.0123
NBEA,TCGA-5M-AATE,1.4756
PIK3CA,TCGA-5M-AATE,-0.0376
PREX2,TCGA-5M-AATE,-0.8853
PTPN13,TCGA-5M-AATE,-1.7211
PTPRT,TCGA-5M-AATE,1.218
RNF213,TCGA-5M-AATE,0.1258
RNF43,TCGA-5M-AATE,1.1268
ROBO2,TCGA-5M-AATE,-0.246
ROS1,TCGA-5M-AATE,-0.3205
SMAD4,TCGA-5M-AATE,0.0865
TCF7L2,TCGA-5M-AATE,-0.6231
TNC,TCGA-5M-AATE,-0.6688
TP53,TCGA-5M-AATE,0.0364
TRRAP,TCGA-5M-AATE,1.4501
ZFHX3,TCGA-5M-AATE,0.2673
ACVR2A,TCGA-A6-2675,0.6796
AKAP9,TCGA-A6-2675,0.6697
ANK1,TCGA-A6-2675,0.2607
APC,TCGA-A6-2675,0.0649
ARID1A,TCGA-A6-2675,0.613
ATM,TCGA-A6-2675,0.6682
ATRX,TCGA-A6-2675,0.1861
BCL9,TCGA-A6-2675,0.5966
BCL9L,TCGA-A6-2675,0.7181
BCORL1,TCGA-A6-2675,1.0576
BIRC6,TCGA-A6-2675,0.5775
BRAF,TCGA-A6-2675,0.1103
BRCA2,TCGA-A6-2675,-1.2042
CARD11,TCGA-A6-2675,-0.0009
CDH10,TCGA-A6-2675,-0.4588
CDH4,TCGA-A6-2675,-0.1972
CNTNAP2,TCGA-A6-2675,0.3956
CREBBP,TCGA-A6-2675,0.9157
CSMD3,TCGA-A6-2675,-0.0439
CTNNA2,TCGA-A6-2675,-0.1182
DCC,TCGA-A6-2675,-1.7203
ERBB4,TCGA-A6-2675,-0.5279
FAM123B,TCGA-A6-2675,0.9314
FAM47C,TCGA-A6-2675,-1.3237
FAT1,TCGA-A6-2675,-0.0534
FAT3,TCGA-A6-2675,1.4431
FAT4,TCGA-A6-2675,0.89
FBXW7,TCGA-A6-2675,-0.3222
GRIN2A,TCGA-A6-2675,1.024
KRAS,TCGA-A6-2675,-0.0359
LRP1B,TCGA-A6-2675,-1.1856
MLL3,TCGA-A6-2675,0.7866
MLL4,TCGA-A6-2675,0.4802
MUC16,TCGA-A6-2675,0.4824
MYH11,TCGA-A6-2675,0.843
NBEA,TCGA-A6-2675,0.2924
PIK3CA,TCGA-A6-2675,0.7578
PREX2,TCGA-A6-2675,0.8666
PTPN13,TCGA-A6-2675,-0.3348
PTPRT,TCGA-A6-2675,0.5067
RNF213,TCGA-A6-2675,0.6107
RNF43,TCGA-A6-2675,0.2788
ROBO2,TCGA-A6-2675,0.408
ROS1,TCGA-A6-2675,0.1496
SMAD4,TCGA-A6-2675,0.4767
TCF7L2,TCGA-A6-2675,0.345
TNC,TCGA-A6-2675,0.8132
TP53,TCGA-A6-2675,-1.3368
TRRAP,TCGA-A6-2675,0.3268
ZFHX3,TCGA-A6-2675,1.21
ACVR2A,TCGA-A6-2682,0.4399
AKAP9,TCGA-A6-2682,-0.5309
ANK1,TCGA-A6-2682,-0.2194
APC,TCGA-A6-2682,-0.1948
ARID1A,TCGA-A6-2682,-1.8673
ATM,TCGA-A6-2682,0.8587
ATRX,TCGA-A6-2682,0.5334
BCL9,TCGA-A6-2682,-0.8704
BCL9L,TCGA-A6-2682,-0.3295
BCORL1,TCGA-A6-2682,-0.4593
BIRC6,TCGA-A6-2682,-0.6528
BRAF,TCGA-A6-2682,0.2823
BRCA2,TCGA-A6-2682,0.0712
CARD11,TCGA-A6-2682,0.7041
CDH10,TCGA-A6-2682,-0.5014
CDH4,TCGA-A6-2682,-0.6826
CNTNAP2,TCGA-A6-2682,0.4548
CREBBP,TCGA-A6-2682,-1.2949
CSMD3,TCGA-A6-2682,0.2654
